Protein,Attention_Weight
spint3,2.8188305
zp3,2.7491605
folr3,2.6849144
muc2,2.4296536
cga,2.4027505
gh1,2.402639
abo,2.3164525
psca,2.254909
lpa,2.2054696
muc16,2.204978
cdhr2,2.1523094
gstt2b,2.1103992
ppy,2.1056027
megf10,2.089252
paep,2.07429
hmcn2,2.0420947
lep,2.017813
notch1,1.9973443
vwf,1.9729296
col28a1,1.9497949
col2a1,1.9477153
pm20d1,1.9462056
insl3,1.9452636
oxt,1.9228494
notch3,1.9173608
pyy,1.9139104
klk3,1.9083443
notch2,1.8859105
tnc,1.8799542
tmprss15,1.8675222
col5a1,1.8582115
bgn,1.835607
gp2,1.8354156
klk12,1.8302498
ccl20,1.804966
tg,1.800931
pzp,1.7964516
bglap,1.7883003
npy,1.7809126
ccl19,1.7797921
col4a1,1.7777715
eddm3b,1.7773964
stat5b,1.7721848
igfbp1,1.7666869
fshb,1.7624792
myom3,1.7612226
prok1,1.7428119
alpi,1.7418244
gpa33,1.7375715
cdh17,1.7311308
fgf21,1.7272344
col24a1,1.7140155
klk1,1.7127208
acrv1,1.7117057
ccl18,1.7052553
mep1b,1.70183
col1a1,1.7006974
cd177,1.6990863
ccl5,1.6972187
ccn1,1.693204
ccl26,1.6879635
psg1,1.6861167
col9a1,1.6807038
ssc4d,1.6767567
apob,1.6746054
top1,1.6705217
igsf9,1.6697199
cr2,1.6566875
tex101,1.654192
rnase3,1.6517231
col15a1,1.6477003
mln,1.6476806
pear1,1.643871
gast,1.641748
scgb3a2,1.6397932
ccl2,1.6296102
il18rap,1.6226441
tnxb,1.6187533
col18a1,1.6144753
tcl1a,1.6075935
gcg,1.5992913
fcrl5,1.5979413
crh,1.5856528
fabp1,1.5848638
cdh23,1.5833502
ahnak2,1.5829072
tff1,1.5820577
timp3,1.5807298
il5,1.5783899
ltbp2,1.5761607
agr2,1.5722108
mmp3,1.570258
xpnpep2,1.5694473
adgrv1,1.5689825
adipoq,1.5621171
ghrl,1.553736
lrp1,1.5421716
gh2,1.5416658
wfdc2,1.5371594
ifng,1.5320667
pdlim7,1.530726
col4a4,1.5254831
egf,1.5213122
megf11,1.5171967
eppk1,1.5157708
neb,1.5152155
comp,1.511549
pspn,1.5095118
ahnak,1.5047796
adamts15,1.4964252
col3a1,1.4945261
pkd1,1.4925832
msmb,1.4917738
col6a3,1.4841161
cxcl13,1.4745872
ank2,1.473597
chit1,1.4684215
il6,1.4682877
thbs4,1.4643306
fabp4,1.4618418
ldlr,1.4574821
omd,1.4574244
gzmb,1.4569086
vcan,1.454087
cr1,1.4531252
tspan1,1.4527514
ccl4,1.4521708
cdh3,1.4514217
tff3,1.4491243
ssc5d,1.4479603
cxcl10,1.4457862
tmsb10,1.4431826
ahsp,1.4429762
prdx1,1.4423375
s100a12,1.4418864
klb,1.4413275
olfm4,1.4412541
hao1,1.4333155
rbp2,1.4328094
epcam,1.4323158
spink5,1.4320422
kir3dl1,1.4285862
ceacam16,1.4282521
cst1,1.42459
hspg2,1.4245362
chrdl2,1.4227469
siglec5,1.4192477
idua,1.4192185
psmd9,1.4183085
lta4h,1.4176733
igfbp2,1.4165149
edil3,1.415481
alpp,1.4130646
wfdc12,1.4106519
nppb,1.4093893
hgf,1.4084449
fabp2,1.4079572
insl5,1.4070413
cxcl8,1.4058748
serpina12,1.4053254
cd163,1.4049869
cxcl9,1.402871
il1rn,1.4013065
ryr1,1.4000142
egfr,1.3979189
tgm2,1.3973713
il5ra,1.3971531
fkbp1b,1.3957291
ccl17,1.3951473
mmp10,1.3950288
cxcl17,1.3936774
slc39a5,1.3902645
cfh,1.3899974
pf4,1.3898666
mnda,1.3879725
ccl22,1.3878413
gsta1,1.38656
ccl3,1.3858076
plpbp,1.3842778
igsf3,1.3840625
lrp2,1.3818781
casp8,1.3815231
cxcl5,1.3809937
mybpc1,1.3807516
tnfrsf9,1.3795897
gzmh,1.3789184
pappa,1.3771229
ccl11,1.3756056
siglec1,1.3733191
spink6,1.3704456
cntn3,1.369876
scarf2,1.3675683
lat2,1.3673306
omg,1.3661599
hspb6,1.3659196
osm,1.3644276
ptprh,1.3616431
krt18,1.3595538
mdga1,1.3582065
myh9,1.3543353
ceacam5,1.3534929
fam171a2,1.3524971
gusb,1.3523395
spink4,1.352041
pcbd1,1.348181
cspg4,1.3479588
plat,1.3472406
ccl7,1.3463242
itgb1,1.3457785
slamf7,1.344037
cdc42bpb,1.3411543
eif4ebp1,1.3397936
pnpt1,1.3391615
dsc2,1.3385885
krt19,1.3371091
agrp,1.3363173
cxcl14,1.3354259
tia1,1.3352398
ces3,1.331984
eln,1.3305633
map3k5,1.3301237
acan,1.328239
ret,1.3274794
tspan8,1.327086
igfbp6,1.3256032
ikbkg,1.3239073
efemp1,1.3238914
b2m,1.3233533
tnr,1.3229985
dnajc9,1.3229195
celsr2,1.3218224
acy1,1.3202021
mamdc4,1.3199899
sele,1.3196292
cd93,1.3184345
clc,1.3158195
vcam1,1.3150917
serpina9,1.3150339
thbs2,1.31466
nfatc1,1.3139105
skap1,1.3129487
tp53bp1,1.3127768
tff2,1.310684
ogn,1.3104193
mesd,1.3100181
upb1,1.3097808
itih3,1.3082703
cdh1,1.3082645
itgb2,1.3078817
tnfsf10,1.3077834
src,1.307776
flt4,1.3048489
apod,1.304686
ctrl,1.3043723
sparc,1.3024709
angpt1,1.3023059
crisp2,1.3007414
ptprb,1.2991321
calcoco1,1.2990444
bpifa2,1.298456
smpd1,1.2978487
ccl13,1.2974966
adh4,1.2962791
s100p,1.2955555
rbp5,1.2954003
enpp7,1.2952076
l1cam,1.2935414
spon1,1.2929482
smpdl3a,1.2925797
sez6l2,1.2917798
kirrel2,1.2915392
itpr1,1.2912757
ptprz1,1.2895238
epo,1.2895024
il22,1.2881627
myl3,1.2877773
sdccag8,1.2859961
ccl24,1.2849956
sptbn2,1.2843746
dlk1,1.2839624
sned1,1.2837636
slit2,1.2835057
adm,1.2824302
cxcl11,1.2821164
pcdh17,1.2820098
apex1,1.280426
chad,1.2799246
ceacam8,1.2765536
asah2,1.2754581
sult2a1,1.2749994
nrcam,1.2749734
ufd1,1.2724742
pla2g10,1.2712544
pvalb,1.2710254
dsg2,1.2704915
ranbp2,1.2703693
shbg,1.2694914
mybpc2,1.2693708
ptprf,1.2686129
apoa2,1.2680441
cnst,1.2673264
lama1,1.2646921
robo2,1.2640519
plxna4,1.2640285
scgb1a1,1.2633463
mbl2,1.2632113
pklr,1.262923
c9,1.2627169
ccl8,1.2625818
gsn,1.2621024
ncf2,1.2613692
tnfrsf10c,1.2609547
dpp4,1.2600827
cdcp1,1.2592716
inppl1,1.2580388
gfral,1.2565771
s100a11,1.2563746
smtn,1.2561692
ly6d,1.2556546
setmar,1.253516
sdk2,1.2534287
cntnap4,1.2532873
itgam,1.2531239
serpina11,1.2526011
dsg3,1.2525837
grap2,1.2523849
mme,1.2523458
bpifb2,1.2517282
akap12,1.250972
tpr,1.25
bcr,1.2495707
cd5l,1.2495286
eif4g1,1.2485085
ftcd,1.2484841
erbb3,1.2475388
hagh,1.2446544
prss8,1.2438616
igf1r,1.2437989
ccn5,1.2437894
mstn,1.2437718
plaur,1.2420125
mmp9,1.2414432
tnfrsf8,1.2413318
atp5if1,1.2400587
dbh,1.2397835
aoc3,1.2390728
cdh2,1.2389984
il10,1.238605
cxcl3,1.2380321
eng,1.2379743
adgrg1,1.2374518
nppc,1.2371721
cd38,1.2367239
fgf19,1.236316
c3,1.2361662
umod,1.234894
prl,1.234414
